,country,continent,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num
0,Business,Asia,1952,28.801,8425333,779.4453145,AFG,4
1,Business,Asia,1957,30.332,9240934,820.8530296,AFG,4
2,Business,Asia,1962,31.997,10267083,853.10071,AFG,4
3,Business,Asia,1967,34.02,11537966,836.1971382,AFG,4
4,Business,Asia,1972,36.088,13079460,739.9811058,AFG,4
5,Business,Asia,1977,38.438,14880372,786.11336,AFG,4
6,Business,Asia,1982,39.854,12881816,978.0114388,AFG,4
7,Business,Asia,1987,40.822,13867957,852.3959448,AFG,4
8,Business,Asia,1992,41.674,16317921,649.3413952,AFG,4
9,Business,Asia,1997,41.763,22227415,635.341351,AFG,4
10,Business,Asia,2002,42.129,25268405,726.7340548,AFG,4
11,Business,Asia,2007,43.828,31889923,974.5803384,AFG,4
12,Entertainment,Europe,1952,55.23,1282697,1601.056136,ALB,8
13,Entertainment,Europe,1957,59.28,1476505,1942.284244,ALB,8
14,Entertainment,Europe,1962,64.82,1728137,2312.888958,ALB,8
15,Entertainment,Europe,1967,66.22,1984060,2760.196931,ALB,8
16,Entertainment,Europe,1972,67.69,2263554,3313.422188,ALB,8
17,Entertainment,Europe,1977,68.93,2509048,3533.00391,ALB,8
18,Entertainment,Europe,1982,70.42,2780097,3630.880722,ALB,8
19,Entertainment,Europe,1987,72,3075321,3738.932735,ALB,8
20,Entertainment,Europe,1992,71.581,3326498,2497.437901,ALB,8
21,Entertainment,Europe,1997,72.95,3428038,3193.054604,ALB,8
22,Entertainment,Europe,2002,75.651,3508512,4604.211737,ALB,8
23,Entertainment,Europe,2007,76.423,3600523,5937.029526,ALB,8
24,Health,Africa,1952,43.077,9279525,2449.008185,DZA,12
25,Health,Africa,1957,45.685,10270856,3013.976023,DZA,12
26,Health,Africa,1962,48.303,11000948,2550.81688,DZA,12
27,Health,Africa,1967,51.407,12760499,3246.991771,DZA,12
28,Health,Africa,1972,54.518,14760787,4182.663766,DZA,12
29,Health,Africa,1977,58.014,17152804,4910.416756,DZA,12
30,Health,Africa,1982,61.368,20033753,5745.160213,DZA,12
31,Health,Africa,1987,65.799,23254956,5681.358539,DZA,12
32,Health,Africa,1992,67.744,26298373,5023.216647,DZA,12
33,Health,Africa,1997,69.152,29072015,4797.295051,DZA,12
34,Health,Africa,2002,70.994,31287142,5288.040382,DZA,12
35,Health,Africa,2007,72.301,33333216,6223.367465,DZA,12
36,Travel,Africa,1952,30.015,4232095,3520.610273,AGO,24
37,Travel,Africa,1957,31.999,4561361,3827.940465,AGO,24
38,Travel,Africa,1962,34,4826015,4269.276742,AGO,24
39,Travel,Africa,1967,35.985,5247469,5522.776375,AGO,24
40,Travel,Africa,1972,37.928,5894858,5473.288005,AGO,24
41,Travel,Africa,1977,39.483,6162675,3008.647355,AGO,24
42,Travel,Africa,1982,39.942,7016384,2756.953672,AGO,24
43,Travel,Africa,1987,39.906,7874230,2430.208311,AGO,24
44,Travel,Africa,1992,40.647,8735988,2627.845685,AGO,24
45,Travel,Africa,1997,40.963,9875024,2277.140884,AGO,24
46,Travel,Africa,2002,41.003,10866106,2773.287312,AGO,24
47,Travel,Africa,2007,42.731,12420476,4797.231267,AGO,24
48,Consumer,Americas,1952,62.485,17876956,5911.315053,ARG,32
49,Consumer,Americas,1957,64.399,19610538,6856.856212,ARG,32
50,Consumer,Americas,1962,65.142,21283783,7133.166023,ARG,32
51,Consumer,Americas,1967,65.634,22934225,8052.953021,ARG,32
52,Consumer,Americas,1972,67.065,24779799,9443.038526,ARG,32
53,Consumer,Americas,1977,68.481,26983828,10079.02674,ARG,32
54,Consumer,Americas,1982,69.942,29341374,8997.897412,ARG,32
55,Consumer,Americas,1987,70.774,31620918,9139.671389,ARG,32
56,Consumer,Americas,1992,71.868,33958947,9308.41871,ARG,32
57,Consumer,Americas,1997,73.275,36203463,10967.28195,ARG,32
58,Consumer,Americas,2002,74.34,38331121,8797.640716,ARG,32
59,Consumer,Americas,2007,75.32,40301927,12779.37964,ARG,32
